"","glm.pred","glm.prednum"
"1","red",1
"2","red",1
"3","red",1
"4","red",1
"5","red",1
"6","red",1
"7","yellow",2
"8","yellow",2
"9","yellow",2
"10","yellow",2
"11","yellow",2
"12","green",3
"13","green",3
"14","green",3
"15","green",3
"16","yellow",2
"17","green",3
"18","green",3
"19","green",3
"20","green",3
"21","yellow",2
"22","yellow",2
"23","yellow",2
"24","red",1
"25","yellow",2
"26","yellow",2
"27","yellow",2
"28","yellow",2
"29","yellow",2
"30","yellow",2
"31","yellow",2
"32","yellow",2
"33","yellow",2
"34","yellow",2
"35","green",3
"36","green",3
"37","green",3
"38","green",3
"39","yellow",2
"40","yellow",2
"41","yellow",2
"42","green",3
"43","green",3
"44","green",3
"45","green",3
"46","green",3
"47","green",3
"48","green",3
"49","green",3
"50","green",3
"51","green",3
"52","yellow",2
"53","yellow",2
"54","green",3
"55","green",3
"56","green",3
"57","green",3
"58","green",3
"59","green",3
"60","green",3
"61","green",3
"62","green",3
"63","green",3
"64","green",3
"65","green",3
"66","green",3
"67","green",3
"68","green",3
"69","green",3
"70","green",3
"71","green",3
"72","yellow",2
"73","yellow",2
"74","green",3
"75","green",3
"76","green",3
"77","green",3
"78","green",3
"79","green",3
"80","green",3
"81","green",3
"82","green",3
"83","green",3
"84","green",3
"85","green",3
"86","green",3
"87","green",3
"88","green",3
"89","green",3
"90","green",3
"91","green",3
"92","green",3
"93","green",3
"94","green",3
"95","green",3
"96","green",3
"97","green",3
"98","green",3
"99","yellow",2
"100","yellow",2
"101","red",1
"102","yellow",2
"103","yellow",2
"104","green",3
"105","green",3
"106","green",3
"107","yellow",2
"108","yellow",2
"109","yellow",2
"110","yellow",2
"111","yellow",2
"112","yellow",2
"113","yellow",2
"114","yellow",2
"115","green",3
"116","green",3
"117","green",3
"118","green",3
"119","green",3
"120","green",3
"121","green",3
"122","green",3
"123","green",3
"124","green",3
"125","green",3
"126","green",3
"127","green",3
"128","green",3
"129","green",3
"130","green",3
"131","green",3
"132","green",3
"133","green",3
"134","red",1
"135","red",1
"136","red",1
"137","red",1
"138","red",1
"139","yellow",2
"140","yellow",2
"141","green",3
"142","green",3
"143","green",3
"144","green",3
"145","green",3
"146","green",3
"147","yellow",2
"148","yellow",2
"149","yellow",2
"150","yellow",2
"151","red",1
"152","red",1
"153","red",1
"154","red",1
"155","red",1
"156","red",1
"157","red",1
"158","red",1
"159","red",1
"160","red",1
"161","red",1
"162","yellow",2
"163","yellow",2
"164","yellow",2
"165","yellow",2
"166","yellow",2
"167","yellow",2
"168","yellow",2
"169","yellow",2
"170","yellow",2
"171","yellow",2
"172","yellow",2
"173","red",1
"174","yellow",2
"175","yellow",2
"176","yellow",2
"177","yellow",2
"178","yellow",2
"179","yellow",2
"180","yellow",2
"181","yellow",2
"182","yellow",2
"183","yellow",2
"184","yellow",2
"185","yellow",2
"186","yellow",2
"187","yellow",2
"188","red",1
"189","red",1
"190","red",1
"191","red",1
"192","red",1
"193","red",1
"194","red",1
"195","red",1
"196","red",1
"197","red",1
"198","yellow",2
"199","yellow",2
"200","yellow",2
"201","green",3
"202","green",3
"203","yellow",2
"204","yellow",2
"205","red",1
"206","red",1
"207","red",1
"208","red",1
"209","red",1
"210","red",1
"211","red",1
"212","yellow",2
"213","green",3
"214","yellow",2
"215","green",3
"216","yellow",2
"217","yellow",2
"218","yellow",2
"219","yellow",2
"220","yellow",2
"221","red",1
"222","red",1
"223","red",1
"224","red",1
"225","red",1
"226","red",1
"227","red",1
"228","red",1
"229","red",1
"230","red",1
"231","red",1
